movie,year,imdb,metascore,votes
Zathura: A Space Adventure,2005,6.2,67,104371
Unleashed,2005,7.0,58,103026
Broken Flowers,2005,7.2,79,102917
The Legend of Zorro,2005,5.9,47,101876
The Devil's Rejects,2005,6.7,53,99879
Sahara,2005,6.0,41,98270
Waiting...,2005,6.7,30,98071
"Good Night, and Good Luck.",2005,7.4,80,97960
Land of the Dead,2005,6.2,71,96646
The Ring Two,2005,5.4,44,96203
Revolver,2005,6.3,25,96003
The Pacifier,2005,5.6,30,94434
Elektra,2005,4.7,34,93116
Chicken Little,2005,5.7,48,92690
Sky High,2005,6.3,62,87246
The New World,2005,6.7,69,86500
Hide and Seek,2005,5.9,35,85521
The Squid and the Whale,2005,7.3,82,83396
The Weather Man,2005,6.6,61,80506
Caché,2005,7.3,84,80035
Stay,2005,6.7,41,79591
The Dukes of Hazzard,2005,5.1,33,79066
Chinjeolhan geumjassi,2005,7.5,75,78916
Assault on Precinct 13,2005,6.3,54,78618
Into the Blue,2005,5.9,45,76743
Nanny McPhee,2005,6.6,59,76605
Miss Congeniality 2: Armed & Fabulous,2005,5.1,34,75155
Derailed,2005,6.6,40,73880
Wolf Creek,2005,6.2,54,72783
Bewitched,2005,4.8,34,72552
xXx: State of the Union,2005,4.4,37,70723
Elizabethtown,2005,6.3,45,70326
Be Cool,2005,5.6,37,69894
A Lot Like Love,2005,6.6,48,69372
Domino,2005,5.9,36,67260
Harsh Times,2005,6.8,56,65960
Goal!,2005,6.7,53,63379
Dark Water,2005,5.6,52,62760
In Her Shoes,2005,6.5,60,62446
Hoodwinked!,2005,6.5,45,61668
Monster-in-Law,2005,5.5,31,61625
The Sisterhood of the Traveling Pants,2005,6.5,66,60716
Cheaper by the Dozen 2,2005,5.5,34,59018
Rumor Has It...,2005,5.5,35,58496
Everything Is Illuminated,2005,7.4,58,58492
March of the Penguins,2005,7.5,79,58103
Grizzly Man,2005,7.8,87,57458
Son of the Mask,2005,2.2,20,56292
Lords of Dogtown,2005,7.1,56,55346
The World's Fastest Indian,2005,7.8,68,55011
Casanova,2005,6.5,57,54481
Stealth,2005,5.0,35,54243
Rent,2005,6.8,53,53397
The Proposition,2005,7.3,73,52752
The Wedding Date,2005,6.1,32,52551
Deuce Bigalow: European Gigolo,2005,4.6,23,51053
Adams æbler,2005,7.7,51,50714
White Noise,2005,5.5,30,49117
Herbie Fully Loaded,2005,4.9,47,48005
Get Rich or Die Tryin',2005,5.4,45,47334
Two for the Money,2005,6.2,50,46214
Alone in the Dark,2005,2.4,9,45615
Fever Pitch,2005,6.2,56,45476
The Matador,2005,6.7,65,45161
Proof,2005,6.7,64,44927
Guess Who,2005,5.9,49,43026
The Producers,2005,6.3,52,42924
North Country,2005,7.3,68,42783
Transamerica,2005,7.4,66,41391
Prime,2005,6.2,58,41119
Hustle & Flow,2005,7.3,68,40772
The Three Burials of Melquiades Estrada,2005,7.3,77,40628
The Cave,2005,5.1,30,38920
Kicking & Screaming,2005,5.6,45,38393
Tom yum goong,2005,7.0,52,37443
The Fog,2005,3.7,27,37188
The Ringer,2005,5.8,46,37040
Me and You and Everyone We Know,2005,7.2,76,36511
BloodRayne,2005,2.9,18,35677
Keeping Mum,2005,6.8,53,34834
Angel-A,2005,7.0,48,33968
Tideland,2005,6.3,26,33391
Cursed,2005,5.0,31,33017
C.R.A.Z.Y.,2005,7.9,81,32897
Oliver Twist,2005,6.8,65,32886
Imagine Me & You,2005,6.7,49,32810
Are We There Yet?,2005,4.7,27,32265
Must Love Dogs,2005,5.9,46,32048
Feast,2005,6.2,43,31987
An Unfinished Life,2005,7.0,49,31288
Boogeyman,2005,4.1,32,31275
The Greatest Game Ever Played,2005,7.4,55,30916
The Perfect Man,2005,5.4,27,30583
Joyeux Noël,2005,7.7,70,29835
Tsotsi,2005,7.2,70,28614
"Yours, Mine & Ours",2005,5.4,38,28608
Sophie Scholl - Die letzten Tage,2005,7.6,76,27715
Cry Wolf,2005,5.8,39,27486
Ice Princess,2005,6.0,55,27279
An American Haunting,2005,5.0,38,25893
The Man,2005,5.5,33,25828
The Ice Harvest,2005,6.2,62,24152
Shopgirl,2005,6.3,62,24142
Man of the House,2005,5.4,35,24110
Little Manhattan,2005,7.4,52,23805
Manderlay,2005,7.2,46,23715
The Prestige,2006,8.5,66,1311356
The Departed,2006,8.5,85,1304459
300,2006,7.6,52,812260
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,53,710856
Pan's Labyrinth,2006,8.2,98,662428
Casino Royale,2006,8.0,80,651503
Blood Diamond,2006,8.0,64,543433
X-Men: The Last Stand,2006,6.6,58,513520
The Pursuit of Happyness,2006,8.0,64,504132
Children of Men,2006,7.9,84,496471
