movie,year,imdb,metascore,votes
Robin Hood,2010,6.6,53,268003
The Other Guys,2010,6.6,64,266779
The A-Team,2010,6.7,47,258421
Megamind,2010,7.3,63,258212
Grown Ups,2010,5.9,30,250965
The Twilight Saga: Eclipse,2010,5.0,58,245018
The Tourist,2010,6.0,37,242401
Predators,2010,6.4,51,229088
Shrek Forever After,2010,6.3,58,203281
Love & Other Drugs,2010,6.7,55,202857
Machete,2010,6.6,60,197412
Unstoppable,2010,6.8,69,197036
Blue Valentine,2010,7.4,81,196753
The Next Three Days,2010,7.3,52,196706
Knight and Day,2010,6.3,46,195592
Percy Jackson & the Olympians: The Lightning Thief,2010,5.8,47,188441
The Karate Kid,2010,6.2,61,181935
Get Him to the Greek,2010,6.3,65,178530
Tucker and Dale vs Evil,2010,7.5,65,178280
Incendies,2010,8.3,80,175279
Hot Tub Time Machine,2010,6.4,63,174208
Resident Evil: Afterlife,2010,5.8,37,171635
The Ghost Writer,2010,7.2,77,163842
The Last Airbender,2010,4.0,20,163319
Date Night,2010,6.3,56,162828
The Sorcerer's Apprentice,2010,6.1,46,162043
Buried,2010,7.0,65,160594
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,153806
Dear John,2010,6.3,43,148837
Remember Me,2010,7.1,40,147043
Never Let Me Go,2010,7.1,69,145792
Devil,2010,6.3,44,145469
It's Kind of a Funny Story,2010,7.1,63,143149
Winter's Bone,2010,7.1,90,143091
She's Out of My League,2010,6.4,46,137356
Green Zone,2010,6.8,63,137228
Life as We Know It,2010,6.5,39,132041
The Kids Are All Right,2010,7.0,86,130625
Ang-ma-reul bo-at-da,2010,7.8,67,128748
The Bounty Hunter,2010,5.5,22,127725
Let Me In,2010,7.1,79,121350
The Crazies,2010,6.5,56,121018
Valentine's Day,2010,5.7,34,119878
From Paris with Love,2010,6.4,42,117339
The Way Back,2010,7.3,66,116469
Little Fockers,2010,5.5,27,112672
Faster,2010,6.4,44,107341
The Wolfman,2010,5.8,43,106824
Dinner for Schmucks,2010,5.9,56,106627
My Name Is Khan,2010,7.9,50,106568
Repo Men,2010,6.3,32,106481
The Switch,2010,6.1,52,105742
Legion,2010,5.2,32,105115
Yip Man 2,2010,7.5,67,104955
Leap Year,2010,6.4,33,104123
Paranormal Activity 2,2010,5.7,53,104061
Wall Street: Money Never Sleeps,2010,6.2,59,102891
The Losers,2010,6.3,44,101278
A Nightmare on Elm Street,2010,5.2,35,100284
Letters to Juliet,2010,6.5,50,100045
Saw 3D,2010,5.5,24,98531
Eat Pray Love,2010,5.8,50,97113
The American,2010,6.3,61,96972
Edge of Darkness,2010,6.6,55,94665
Hereafter,2010,6.5,56,93032
Monsters,2010,6.4,63,92552
Beginners,2010,7.2,81,92165
Killers,2010,5.4,21,91965
Karigurashi no Arietty,2010,7.6,80,91897
Piranha 3D,2010,5.5,53,90983
Submarine,2010,7.3,76,90747
Biutiful,2010,7.4,58,90658
Skyline,2010,4.5,26,89939
Flipped,2010,7.7,45,89705
Cop Out,2010,5.5,31,88195
The Last Song,2010,5.9,33,87556
Burlesque,2010,6.4,47,85873
I Spit on Your Grave,2010,6.2,27,84055
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,53,83470
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,71,83033
Centurion,2010,6.3,62,82853
Super,2010,6.7,50,80168
Sex and the City 2,2010,4.5,27,79859
Morning Glory,2010,6.5,57,78795
Four Lions,2010,7.2,68,77723
Inside Job,2010,8.2,88,75434
Trolljegeren,2010,6.9,61,74072
Frozen,2010,6.2,43,73499
Senna,2010,8.5,79,70696
Gulliver's Travels,2010,4.9,33,69727
The Debt,2010,6.8,65,69525
Exit Through the Gift Shop,2010,8.0,85,66351
Jûsan-nin no shikaku,2010,7.5,84,65568
Jackass 3D,2010,7.0,56,65402
Takers,2010,6.2,45,62706
When in Rome,2010,5.5,25,62499
Charlie St. Cloud,2010,6.4,37,62281
Jonah Hex,2010,4.7,33,59131
Going the Distance,2010,6.3,51,58511
Step Up 3D,2010,6.1,45,58221
Animal Kingdom,2010,7.3,83,57661
All Good Things,2010,6.3,57,56521
Hesher,2010,6.9,45,52414
You Again,2010,5.7,28,52149
Everything Must Go,2010,6.4,65,51112
How Do You Know,2010,5.4,46,50683
Diary of a Wimpy Kid,2010,6.2,56,50280
The Back-up Plan,2010,5.3,34,50258
Death at a Funeral,2010,5.7,51,50127
The Last Exorcism,2010,5.7,63,50001
Rabbit Hole,2010,7.0,76,49558
Fair Game,2010,6.8,69,49191
The Runaways,2010,6.5,65,49168
Vampires Suck,2010,3.4,18,48992
Don't Be Afraid of the Dark,2010,5.5,56,48909
Last Night,2010,6.5,50,48819
London Boulevard,2010,6.2,52,48451
Black Death,2010,6.4,71,48165
Tooth Fairy,2010,5.0,36,46529
The Company Men,2010,6.7,69,45802
You Will Meet a Tall Dark Stranger,2010,6.3,51,45733
MacGruber,2010,5.6,43,45528
Somewhere,2010,6.3,67,44937
Conviction,2010,7.2,61,44443
The Spy Next Door,2010,5.4,27,44067
Catfish,2010,7.1,65,42966
The Ward,2010,5.5,38,42814
Stake Land,2010,6.4,66,42651
Trust,2010,6.9,60,42566
13,2010,6.0,29,42218
Stone,2010,5.4,58,41675
Hævnen,2010,7.6,65,40206
Wild Target,2010,6.7,41,38336
Greenberg,2010,6.1,76,37738
Rubber,2010,5.7,59,37399
Cyrus,2010,6.3,74,35596
L'illusionniste,2010,7.5,82,35259
6 Souls,2010,6.0,28,34666
The Killer Inside Me,2010,6.1,53,34404
The Whistleblower,2010,7.1,59,34019
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85,860356
The Intouchables,2011,8.5,57,843459
Thor,2011,7.0,57,837092
Captain America: The First Avenger,2011,6.9,66,833083
X: First Class,2011,7.7,65,687316
Drive,2011,7.8,78,629283
Limitless,2011,7.4,59,567839
Rise of the Planet of the Apes,2011,7.6,68,525086
Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,522739
Source Code,2011,7.5,74,516378
"Crazy, Stupid, Love.",2011,7.4,68,515309
The Hangover Part II,2011,6.4,44,496201
Mission: Impossible - Ghost Protocol,2011,7.4,73,487170
Warrior,2011,8.2,71,468435
The Girl with the Dragon Tattoo,2011,7.8,71,459766
The Help,2011,8.1,62,455084
Sherlock Holmes: A Game of Shadows,2011,7.4,48,451352
Horrible Bosses,2011,6.9,57,446670
Midnight in Paris,2011,7.7,81,420968
Moneyball,2011,7.6,87,418378
The Cabin in the Woods,2011,7.0,72,412904
In Time,2011,6.7,53,407979
Transformers: Dark of the Moon,2011,6.2,42,406368
Fast Five,2011,7.3,66,379011
Friends with Benefits,2011,6.5,63,365812
Super 8,2011,7.0,72,353379
50/50,2011,7.6,72,329447
Real Steel,2011,7.0,56,326138
Hugo,2011,7.5,83,321897
Contagion,2011,6.8,70,302507
Bridesmaids,2011,6.8,75,290837
Green Lantern,2011,5.5,39,284167
Kung Fu Panda 2,2011,7.2,67,281989
Rango,2011,7.2,75,262765
Unknown,2011,6.8,56,261174
The Adjustment Bureau,2011,7.0,60,256707
The Grey,2011,6.8,64,252219
Paul,2011,6.9,57,251785
Jodaeiye Nader az Simin,2011,8.3,95,243665
Just Go with It,2011,6.4,33,243223
Sucker Punch,2011,6.0,33,242579
The Descendants,2011,7.3,84,241712
The Artist,2011,7.9,89,240854
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,239722
I Am Number Four,2011,6.1,36,237633
The Lincoln Lawyer,2011,7.3,63,237598
The Adventures of Tintin,2011,7.3,68,230396
No Strings Attached,2011,6.2,50,229504
Rio,2011,6.9,63,226222
The Ides of March,2011,7.1,67,222668
Cowboys & Aliens,2011,6.0,50,220420
Serbuan maut,2011,7.6,73,203922
Bad Teacher,2011,5.6,47,202914
Tinker Tailor Soldier Spy,2011,7.0,85,201277
Hanna,2011,6.8,65,198709
Shame,2011,7.2,72,195062
Cars 2,2011,6.2,57,187072
The Change-Up,2011,6.3,39,182391
Melancholia,2011,7.1,80,181702
Battle: Los Angeles,2011,5.7,37,180273
The Tree of Life,2011,6.8,85,176810
Immortals,2011,6.0,46,168421
The Mechanic,2011,6.5,49,160727
The Green Hornet,2011,5.8,39,160558
Puss in Boots,2011,6.6,65,158316
War Horse,2011,7.2,72,157044
We Need to Talk About Kevin,2011,7.5,68,153915
One Day,2011,7.0,48,152435
La piel que habito,2011,7.6,70,151847
Scream 4,2011,6.2,52,148326
Tower Heist,2011,6.2,59,143676
We Bought a Zoo,2011,7.1,58,143507
The Thing,2011,6.2,49,132046
Johnny English Reborn,2011,6.3,46,130692
Margin Call,2011,7.1,76,130297
Killer Elite,2011,6.4,44,129640
J. Edgar,2011,6.5,59,128622
Carnage,2011,7.1,61,126774
Hall Pass,2011,5.9,45,125945
Priest,2011,5.7,41,120042
Ghost Rider: Spirit of Vengeance,2011,4.3,34,119434
Water for Elephants,2011,6.9,52,116489
Final Destination 5,2011,5.9,50,115939
Red Riding Hood,2011,5.4,29,112261
The Iron Lady,2011,6.4,52,109267
The Three Musketeers,2011,5.7,35,107983
Attack the Block,2011,6.6,75,106787
Fright Night,2011,6.4,64,105985
The Rum Diary,2011,6.1,56,105128
A Dangerous Method,2011,6.4,76,103602
Hodejegerne,2011,7.5,72,102120
Extremely Loud & Incredibly Close,2011,6.9,46,101982
Colombiana,2011,6.4,45,101448
Your Highness,2011,5.5,31,101302
30 Minutes or Less,2011,6.1,49,100720
Take Shelter,2011,7.3,85,100564
Drive Angry,2011,5.4,44,99513
Conan the Barbarian,2011,5.1,36,99183
You're Next,2011,6.5,66,98796
The Rite,2011,6.0,38,98008
Mr. Popper's Penguins,2011,6.0,53,96917
Another Earth,2011,6.9,66,95777
The Best Exotic Marigold Hotel,2011,7.2,62,95336
Paranormal Activity 3,2011,5.8,59,94977
Season of the Witch,2011,5.4,28,94327
The Muppets,2011,7.1,75,92492
The Smurfs,2011,5.4,30,90372
Our Idiot Brother,2011,6.4,60,87896
Jane Eyre,2011,7.3,76,87770
The Guard,2011,7.3,78,87309
Goon,2011,6.8,64,87249
My Week with Marilyn,2011,6.9,65,87081
Haywire,2011,5.8,67,87062
New Year's Eve,2011,5.6,22,86069
Detachment,2011,7.7,52,85433
Jack and Jill,2011,3.3,23,84653
Young Adult,2011,6.3,71,84341
The Inbetweeners Movie,2011,6.7,44,82832
What's Your Number?,2011,6.0,35,81035
Abduction,2011,5.1,25,80605
Killer Joe,2011,6.7,62,78451
Beastly,2011,5.5,40,77816
Justin Bieber: Never Say Never,2011,1.6,52,76266
The Sitter,2011,5.6,39,70805
The Eagle,2011,6.2,55,70419
God Bless America,2011,7.1,56,70213
A Very Harold & Kumar 3D Christmas,2011,6.2,61,69755
Larry Crowne,2011,6.1,41,67623
Dream House,2011,6.0,35,66889
The Awakening,2011,6.4,53,66600
Machine Gun Preacher,2011,6.7,43,66209
Salmon Fishing in the Yemen,2011,6.8,58,64924
Red State,2011,6.1,50,64588
"Jeff, Who Lives at Home",2011,6.5,60,63977
Something Borrowed,2011,5.8,36,62396
The Devil's Double,2011,7.1,52,62211
Like Crazy,2011,6.6,68,61776
Zookeeper,2011,5.2,30,61551
The Darkest Hour,2011,4.9,18,61352
Bernie,2011,6.8,75,60505
Perfect Sense,2011,7.0,55,60271
The Art of Getting By,2011,6.5,36,59023
Arthur Christmas,2011,7.1,69,58854
Grave Encounters,2011,6.1,33,58043
Gnomeo & Juliet,2011,5.9,53,56046
Apollo 18,2011,5.2,24,55731
Sanctum,2011,5.9,42,55699
The Dilemma,2011,5.3,46,54363
Win Win,2011,7.1,75,53956
Take Me Home Tonight,2011,6.3,42,53519
Martha Marcy May Marlene,2011,6.8,75,53168
Don 2,2011,7.0,49,53013
Jin ling shi san chai,2011,7.5,46,52864
Arthur,2011,5.7,36,52001
Soul Surfer,2011,7.0,53,49777
Footloose,2011,5.8,58,49651
The Beaver,2011,6.6,60,49216
Kill the Irishman,2011,7.0,50,48707
Seeking Justice,2011,6.1,38,46447
Hobo with a Shotgun,2011,6.1,55,46431
Bir Zamanlar Anadolu'da,2011,7.8,82,46320
The Big Year,2011,6.2,53,45420
Monte Carlo,2011,5.8,43,45101
Happy Feet Two,2011,5.8,50,44914
The Dark Knight Rises,2012,8.4,78,1676887
Django Unchained,2012,8.4,81,1521050
The Avengers,2012,8.0,69,1372435
The Hunger Games,2012,7.2,68,907795
The Hobbit: An Unexpected Journey,2012,7.8,58,811883
Silver Linings Playbook,2012,7.7,81,704091
Skyfall,2012,7.8,81,691346
The Amazing Spider-Man,2012,6.9,66,648784
Life of Pi,2012,7.9,79,623535
Argo,2012,7.7,86,610709
Ted,2012,6.9,62,608955
Prometheus,2012,7.0,64,604769
Looper,2012,7.4,84,571777
21 Jump Street,2012,7.2,69,552712
The Perks of Being a Wallflower,2012,8.0,67,505292
Wreck-It Ralph,2012,7.7,72,418174
Brave,2012,7.1,69,407526
Cloud Atlas,2012,7.4,55,361393
Men in Black 3,2012,6.8,58,360510
Flight,2012,7.3,76,351790
Moonrise Kingdom,2012,7.8,84,347370
Jack Reacher,2012,7.0,50,339248
Les Misérables,2012,7.5,63,328180
Jagten,2012,8.3,77,324854
The Expendables 2,2012,6.6,51,306341
Taken 2,2012,6.2,45,306025
The Dictator,2012,6.4,58,304385
Pitch Perfect,2012,7.1,66,303929
The Bourne Legacy,2012,6.6,61,301376
Zero Dark Thirty,2012,7.4,95,298702
Snow White and the Huntsman,2012,6.1,57,288240
Dredd,2012,7.1,60,273439
John Carter,2012,6.6,51,271708
The Place Beyond the Pines,2012,7.3,68,267069
Dark Shadows,2012,6.2,55,266310
Lincoln,2012,7.3,86,259810
Seven Psychopaths,2012,7.1,66,256168
Total Recall,2012,6.2,43,253946
Hotel Transylvania,2012,7.0,47,252840
Chronicle,2012,7.0,69,251216
Sinister,2012,6.8,53,249197
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,247891
Battleship,2012,5.8,41,247831
End of Watch,2012,7.6,68,246958
Lawless,2012,7.2,58,241621
Safe House,2012,6.7,52,222570
Lo imposible,2012,7.5,73,222455
American Reunion,2012,6.7,49,213939
Project X,2012,6.6,48,208957
Ice Age: Continental Drift,2012,6.5,49,208123
The Vow,2012,6.8,43,194055
Wrath of the Titans,2012,5.7,37,189088
This Means War,2012,6.3,31,186457
The Woman in Black,2012,6.4,62,183110
Madagascar 3: Europe's Most Wanted,2012,6.8,60,180307
Mud,2012,7.4,76,179190
Rise of the Guardians,2012,7.2,58,173936
The Master,2012,7.1,86,173570
Abraham Lincoln: Vampire Hunter,2012,5.9,42,155736
Underworld: Awakening,2012,6.3,39,154200
Man on a Ledge,2012,6.6,40,152079
Killing Them Softly,2012,6.2,64,143860
Resident Evil: Retribution,2012,5.3,39,142464
Spring Breakers,2012,5.3,63,142285
This Is 40,2012,6.2,59,139242
Magic Mike,2012,6.1,72,138355
The Campaign,2012,6.1,50,131437
Savages,2012,6.4,59,130106
The Watch,2012,5.7,36,127857
Safety Not Guaranteed,2012,6.9,72,125855
Contraband,2012,6.4,51,122611
Seeking a Friend for the End of the World,2012,6.7,59,114352
Premium Rush,2012,6.5,66,114027
The Lorax,2012,6.4,46,112255
Safe,2012,6.5,55,110729
The Lucky One,2012,6.4,39,108449
Get the Gringo,2012,6.9,60,108089
Frankenweenie,2012,6.9,74,107029
Journey 2: The Mysterious Island,2012,5.7,41,104120
ParaNorman,2012,7.0,72,102094
Ruby Sparks,2012,7.2,67,101081
That's My Boy,2012,5.5,31,100266
Amour,2012,7.9,94,100170
Anna Karenina,2012,6.6,63,99837
The Five-Year Engagement,2012,6.2,62,98940
Lockout,2012,6.0,48,98696
Gangs of Wasseypur,2012,8.2,89,95042
Here Comes the Boom,2012,6.4,40,91553
Stuck in Love,2012,7.2,49,88057
To Rome with Love,2012,6.3,54,88055
Mirror Mirror,2012,5.6,46,87850
The Raven,2012,6.4,44,85222
Beasts of the Southern Wild,2012,7.2,86,83373
Frances Ha,2012,7.4,82,83083
The Words,2012,7.0,37,78262
Rock of Ages,2012,5.9,47,78111
Red Dawn,2012,5.3,31,77498
House at the End of the Street,2012,5.5,31,77132
Wanderlust,2012,5.6,53,77018
Hitchcock,2012,6.8,55,76092
Disconnect,2012,7.5,64,75791
The Iceman,2012,6.8,60,75172
What to Expect When You're Expecting,2012,5.7,41,73071
Upside Down,2012,6.3,45,71953
The First Time,2012,6.8,55,70973
Act of Valor,2012,6.4,40,69301
Searching for Sugar Man,2012,8.2,79,68256
De rouille et d'os,2012,7.4,73,67629
Paranormal Activity 4,2012,4.6,40,66414
Trouble with the Curve,2012,6.8,58,64262
Robot & Frank,2012,7.0,67,64235
Silent Hill: Revelation,2012,4.9,16,63565
The Man with the Iron Fists,2012,5.4,51,62631
V/H/S,2012,5.8,54,62381
Red Lights,2012,6.2,36,61718
The Possession,2012,5.9,45,60233
Step Up Revolution,2012,6.4,43,56290
Stand Up Guys,2012,6.4,41,55593
Arbitrage,2012,6.6,73,52472
Bullet to the Head,2012,5.7,48,50109
The Collection,2012,6.1,38,49920
Kon-Tiki,2012,7.2,62,49200
The Pirates! In an Adventure with Scientists!,2012,6.7,73,48413
The Imposter,2012,7.5,77,47892
Cosmopolis,2012,5.1,58,47676
En kongelig affære,2012,7.5,73,47654
Think Like a Man,2012,6.5,51,47410
Bachelorette,2012,5.3,53,47280
The Odd Life of Timothy Green,2012,6.6,47,47010
Holy Motors,2012,7.0,84,46217
Stolen,2012,5.5,43,45103
Ôkami kodomo no Ame to Yuki,2012,8.1,71,44642
Gone,2012,5.9,36,44506
Byzantium,2012,6.5,66,43804
People Like Us,2012,7.0,49,43183
A Thousand Words,2012,5.8,26,42785
The Sessions,2012,7.2,79,42780
Hope Springs,2012,6.3,65,42730
Piranha 3DD,2012,3.7,24,42638
One for the Money,2012,5.3,22,42624
Talaash,2012,7.2,65,42450
On the Road,2012,6.0,56,41904
Would You Rather,2012,5.7,20,41564
The Broken Circle Breakdown,2012,7.7,70,41204
The Tall Man,2012,5.9,52,41091
Deadfall,2012,6.2,52,39511
John Dies at the End,2012,6.3,53,38487
Promised Land,2012,6.6,55,38214
Liberal Arts,2012,6.7,55,38149
The Act of Killing,2012,8.2,91,38107
The Paperboy,2012,5.7,45,37837
Maniac,2012,6.1,47,37671
The Cold Light of Day,2012,4.9,22,37634
The Guilt Trip,2012,5.8,50,37535
Hit and Run,2012,6.1,50,36253
The Devil Inside,2012,4.2,18,36059
Red Tails,2012,5.9,46,35664
[Rec]³: Génesis,2012,5.0,45,35495
Compliance,2012,6.4,68,34663
Alex Cross,2012,5.1,30,34145
The Wolf of Wall Street,2013,8.2,75,1371007
Iron Man Three,2013,7.1,62,838172
Gravity,2013,7.7,96,818757
Man of Steel,2013,7.1,55,761816
Prisoners,2013,8.1,70,694603
12 Years a Slave,2013,8.1,96,693527
Thor: The Dark World,2013,6.8,54,673161
The Hunger Games: Catching Fire,2013,7.5,76,658038
World War Z,2013,7.0,63,657284
Now You See Me,2013,7.2,50,651585
The Hobbit: The Desolation of Smaug,2013,7.8,66,650577
Frozen,2013,7.4,75,617925
Her,2013,8.0,91,603010
The Great Gatsby,2013,7.2,55,536546
Oblivion,2013,7.0,54,520266
The Conjuring,2013,7.5,68,499271
Pacific Rim,2013,6.9,65,498140
Dallas Buyers Club,2013,7.9,79,483537
Star Trek Into Darkness,2013,7.7,72,482087
American Hustle,2013,7.2,90,476038
Rush,2013,8.1,74,474894
The Wolverine,2013,6.7,61,462874
Captain Phillips,2013,7.8,82,456044
We're the Millers,2013,7.0,44,445111
Elysium,2013,6.6,61,444679
This Is the End,2013,6.6,67,408881
Despicable Me 2,2013,7.3,62,397601
Furious 6,2013,7.0,61,392630
Snowpiercer,2013,7.1,84,357618
Monsters University,2013,7.3,65,356064
About Time,2013,7.8,55,343769
The Secret Life of Walter Mitty,2013,7.3,54,315363
The Hangover Part III,2013,5.8,30,313328
Lone Survivor,2013,7.5,60,286180
The World's End,2013,6.9,81,280419
Olympus Has Fallen,2013,6.5,41,275021
Kick-Ass 2,2013,6.5,41,271428
Escape Plan,2013,6.7,49,242075
Ender's Game,2013,6.6,51,239722
Don Jon,2013,6.5,66,239409
The Lone Ranger,2013,6.4,37,234298
Warm Bodies,2013,6.8,60,231021
The Purge,2013,5.7,41,222211
White House Down,2013,6.3,52,221147
Pain & Gain,2013,6.4,45,216482
Gangster Squad,2013,6.7,40,215287
The Croods,2013,7.2,55,213446
2 Guns,2013,6.7,55,210993
Oz the Great and Powerful,2013,6.3,44,207830
A Good Day to Die Hard,2013,5.2,28,206989
Hansel & Gretel: Witch Hunters,2013,6.1,23,206094
The Internship,2013,6.3,42,204112
Blue Jasmine,2013,7.3,78,202494
After Earth,2013,4.8,33,201001
Enemy,2013,6.9,61,191762
Side Effects,2013,7.1,75,188415
G.I. Joe: Retaliation,2013,5.7,41,181511
Anchorman 2: The Legend Continues,2013,6.3,61,181268
Mama,2013,6.2,57,180196
The Heat,2013,6.6,60,172197
RED 2,2013,6.6,47,170896
Evil Dead,2013,6.5,57,170589
Insidious: Chapter 2,2013,6.5,40,169692
Riddick,2013,6.4,49,165916
Saving Mr. Banks,2013,7.5,65,161621
47 Ronin,2013,6.2,28,159763
Before Midnight,2013,7.9,94,156903
Begin Again,2013,7.4,62,155944
Grown Ups 2,2013,5.3,19,154237
The Spectacular Now,2013,7.1,82,153573
Inside Llewyn Davis,2013,7.4,93,153534
La vie d'Adèle,2013,7.7,89,151470
The Way Way Back,2013,7.4,68,149869
Locke,2013,7.1,81,149277
Under the Skin,2013,6.3,80,142626
Carrie,2013,5.8,53,140236
The Last Stand,2013,6.3,54,139053
Jack the Giant Slayer,2013,6.2,51,138665
The Book Thief,2013,7.5,53,135317
The Mortal Instruments: City of Bones,2013,5.8,33,133782
Identity Thief,2013,5.7,35,133638
Last Vegas,2013,6.6,48,132706
R.I.P.D.,2013,5.6,25,132662
Oculus,2013,6.5,61,128537
Coherence,2013,7.2,65,126862
Nymphomaniac: Vol. I,2013,6.9,64,123916
Parker,2013,6.2,42,122774
The Call,2013,6.7,51,122226
Homefront,2013,6.5,40,120294
La migliore offerta,2013,7.8,49,118571
Nebraska,2013,7.7,87,118179
Percy Jackson: Sea of Monsters,2013,5.7,39,118049
The Family,2013,6.3,42,116691
Out of the Furnace,2013,6.7,63,115809
The Butler,2013,7.2,65,115073
The Host,2013,5.8,35,114940
Trance,2013,6.9,61,114148
Only God Forgives,2013,5.7,37,112627
Safe Haven,2013,6.6,34,110777
Stoker,2013,6.8,58,109003
Filth,2013,7.0,56,108832
Movie 43,2013,4.3,18,105754
Epic,2013,6.6,52,105351
Cloudy with a Chance of Meatballs 2,2013,6.3,59,102667
The Counselor,2013,5.4,48,101430
Only Lovers Left Alive,2013,7.2,79,100383
Philomena,2013,7.6,77,99996
Jobs,2013,6.0,44,98282
Turbo,2013,6.4,58,96926
Bad Grandpa,2013,6.5,54,95184
42,2013,7.5,62,95096
Nymphomaniac: Vol. II,2013,6.6,60,92376
August: Osage County,2013,7.2,58,90500
La grande bellezza,2013,7.7,86,90442
Snitch,2013,6.4,51,88387
Beautiful Creatures,2013,6.1,52,87998
The Bling Ring,2013,5.6,66,87907
Short Term 12,2013,7.9,82,87666
Kaze tachinu,2013,7.7,83,85059
Horns,2013,6.4,46,83602
The Kings of Summer,2013,7.1,61,81547
Fruitvale Station,2013,7.5,85,81265
All Is Lost,2013,6.9,87,80520
Broken City,2013,6.1,49,80270
Delivery Man,2013,6.3,44,79436
Machete Kills,2013,5.6,41,79153
The F Word,2013,6.8,59,77704
Oldboy,2013,5.7,49,76074
Dark Skies,2013,6.3,50,76013
21 & Over,2013,5.8,34,74895
Blue Ruin,2013,7.1,78,73764
The Incredible Burt Wonderstone,2013,5.9,44,73764
Hummingbird,2013,6.2,43,72398
Scary Movie 5,2013,3.5,11,71657
Europa Report,2013,6.4,68,71321
Dead Man Down,2013,6.4,39,68114
Blackfish,2013,8.1,83,67503
Runner Runner,2013,5.6,36,63772
The Frozen Ground,2013,6.4,37,63197
Enough Said,2013,7.0,78,63086
Grudge Match,2013,6.4,35,60644
Drinking Buddies,2013,6.1,71,58598
Ida,2013,7.4,91,57682
The Lunchbox,2013,7.8,76,56037
Chennai Express,2013,6.0,45,54370
Odd Thomas,2013,6.8,45,53337
Bad Words,2013,6.6,57,50762
The East,2013,6.8,68,50628
The Double,2013,6.5,68,50494
The Big Wedding,2013,5.6,28,49907
Le passé,2013,7.7,85,48935
Joe,2013,6.8,74,48681
The Zero Theorem,2013,6.0,50,47651
A Haunted House,2013,5.0,20,46913
Labor Day,2013,6.9,52,46421
Starred Up,2013,7.3,81,46409
Kaguya-hime no Monogatari,2013,8.0,89,46284
Dhoom:3,2013,5.3,61,46232
Mandariinid,2013,8.1,73,46169
The Colony,2013,5.3,28,45497
Interstellar,2014,8.6,74,1771228
Guardians of the Galaxy,2014,8.0,76,1158728
Gone Girl,2014,8.1,79,966504
Whiplash,2014,8.5,88,832106
Captain America: The Winter Soldier,2014,7.8,70,831735
The Grand Budapest Hotel,2014,8.1,88,794658
The Imitation Game,2014,8.0,71,759101
X-Men: Days of Future Past,2014,7.9,75,705985
Edge of Tomorrow,2014,7.9,71,667412
Kingsman: The Secret Service,2014,7.7,60,660048
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,623887
John Wick,2014,7.4,68,618221
Ex Machina,2014,7.7,78,536962
Nightcrawler,2014,7.8,76,535515
The Hobbit: The Battle of the Five Armies,2014,7.4,59,520919
The Amazing Spider-Man 2,2014,6.6,53,491952
Lucy,2014,6.4,61,490610
American Sniper,2014,7.3,72,481667
Fury,2014,7.5,64,481369
The Maze Runner,2014,6.8,57,460989
Divergent,2014,6.6,48,456658
Big Hero 6,2014,7.8,74,456079
The Hunger Games: Mockingjay - Part 1,2014,6.6,64,450693
The Theory of Everything,2014,7.7,71,446026
Dawn of the Planet of the Apes,2014,7.6,79,438651
Godzilla,2014,6.4,62,411569
22 Jump Street,2014,7.0,71,374248
The Fault in Our Stars,2014,7.7,69,373637
Maleficent,2014,6.9,56,372552
The Equalizer,2014,7.2,57,367529
Boyhood,2014,7.9,100,353127
The Lego Movie,2014,7.7,83,351890
How to Train Your Dragon 2,2014,7.8,77,332369
The Interview,2014,6.5,52,329321
Transformers: Age of Extinction,2014,5.6,32,312882
Neighbors,2014,6.3,68,309025
300: Rise of an Empire,2014,6.2,48,299930
Predestination,2014,7.4,69,280702
Non-Stop,2014,6.9,56,263937
Noah,2014,5.8,68,254573
It Follows,2014,6.8,83,237885
Transcendence,2014,6.2,42,228715
RoboCop,2014,6.2,52,227178
The Babadook,2014,6.8,86,221058
Chef,2014,7.3,68,214708
Teenage Mutant Ninja Turtles,2014,5.8,31,210496
Relatos salvajes,2014,8.1,77,196421
Dracula Untold,2014,6.2,40,194270
Taken 3,2014,6.0,26,192095
The Judge,2014,7.4,48,190691
A Million Ways to Die in the West,2014,6.1,44,188783
What We Do in the Shadows,2014,7.6,76,181996
The Expendables 3,2014,6.1,35,181780
Horrible Bosses 2,2014,6.3,40,172207
Need for Speed,2014,6.4,39,170781
Exodus: Gods and Kings,2014,6.0,52,168567
Unbroken,2014,7.2,59,166949
Sin City: A Dame to Kill For,2014,6.5,46,161653
Annabelle,2014,5.4,37,157958
Hercules,2014,6.0,47,155779
The Drop,2014,7.0,69,151938
The Purge: Anarchy,2014,6.4,50,151580
Foxcatcher,2014,7.0,81,142629
Into the Woods,2014,5.9,69,141077
The Other Woman,2014,6.0,39,140713
"Love, Rosie",2014,7.1,44,139481
Dumb and Dumber To,2014,5.6,36,137317
Still Alice,2014,7.5,72,134678
Let's Be Cops,2014,6.4,30,134128
Blended,2014,6.5,31,132151
